city,chengjiao_href,chengjiao_title,area_sqm,total_selling_price,total_deal_price,unit_deal_price,deal_date,post_to_deal_days,facing,huxing,floor,furbishing,elevator,year
sh,https://sh.lianjia.com/chengjiao/107002245099.html,中远两湾城 2室2厅 102.29平米,102.29,745.0,722.0,70584.0,2018-01-27,81,南,2室2厅,中楼层(共32层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107002294217.html,中远两湾城 3室2厅 132.18平米,132.18,970.0,945.0,71494.0,2018-01-25,40,南,3室2厅,中楼层(共34层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000200887.html,中远两湾城 3室2厅 139.48平米,139.48,890.0,856.0,61371.0,2018-01-20,329,南,3室2厅,高楼层(共33层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107002202445.html,中远两湾城 2室2厅 102.13平米,102.13,730.0,722.0,70695.0,2018-01-20,105,南,2室2厅,中楼层(共32层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002257721.html,中远两湾城 3室2厅 149.04平米,149.04,1100.0,1013.0,67969.0,2018-01-14,58,暂无数据,3室2厅,中楼层(共34层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000205645.html,中远两湾城 2室2厅 99.43平米,99.43,699.0,690.0,69396.0,2018-01-07,263,南,2室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002002619.html,中远两湾城 2室2厅 102.29平米,102.29,740.0,720.0,70389.0,2017-12-30,2184,南,2室2厅,高楼层(共32层),其他,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107002224063.html,中远两湾城 3室2厅 130.71平米,130.71,830.0,800.0,61205.0,2017-12-30,2184,南,3室2厅,低楼层(共34层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000223719.html,中远两湾城 1室2厅 64.35平米,64.35,515.0,498.0,77390.0,2017-12-25,241,南,1室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001112691.html,中远两湾城 3室2厅 118.7平米,118.7,845.0,885.0,74558.0,2017-12-19,1915,西南,3室2厅,中楼层(共23层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107002004867.html,中远两湾城 3室2厅 119.02平米,119.02,800.0,795.0,66796.0,2017-12-17,188,东南,3室2厅,低楼层(共35层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000269589.html,中远两湾城 3室2厅 147.38平米,147.38,1000.0,1040.0,70566.0,2017-12-16,135,南,3室2厅,低楼层(共34层),精装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107002173017.html,中远两湾城 4室2厅 168.63平米,168.63,1270.0,1215.0,72052.0,2017-12-16,94,南,4室2厅,低楼层(共32层),精装,有电梯,2004
sh,https://sh.lianjia.com/chengjiao/107002055655.html,中远两湾城 2室2厅 111.3平米,111.3,795.0,775.0,69632.0,2017-12-06,159,南,2室2厅,低楼层(共34层),简装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002232843.html,中远两湾城 3室2厅 139.37平米,139.37,1200.0,950.0,68164.0,2017-11-18,2142,南,3室2厅,高楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002218483.html,中远两湾城 1室2厅 74.64平米,74.64,610.0,610.0,81726.0,2017-11-15,1879,南,1室2厅,高楼层(共27层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000196759.html,中远两湾城 1室2厅 61.51平米,61.51,500.0,490.0,79662.0,2017-11-09,2133,南,1室2厅,高楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002145051.html,中远两湾城 3室2厅 111.58平米,111.58,800.0,790.0,70802.0,2017-11-05,2129,南,3室2厅,低楼层(共35层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107002111509.html,中远两湾城 3室2厅 109.35平米,109.35,755.0,735.0,67216.0,2017-11-02,2126,南,3室2厅,中楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000024311.html,中远两湾城 1室2厅 61.3平米,61.3,480.0,465.0,75857.0,2017-10-28,2121,西南,1室2厅,中楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002125823.html,中远两湾城 1室2厅 61.51平米,61.51,500.0,483.0,78524.0,2017-10-22,2115,南,1室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002189301.html,中远两湾城 车位,-1.0,65.0,60.0,15790.0,2017-10-14,19,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000147195.html,中远两湾城 3室2厅 112.68平米,112.68,820.0,800.0,70998.0,2017-10-14,2107,西南,3室2厅,中楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000059939.html,中远两湾城 1室2厅 59.44平米,59.44,510.0,488.0,82100.0,2017-10-12,2105,暂无数据,1室2厅,中楼层(共30层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001114569.html,中远两湾城 1室2厅 61.3平米,61.3,478.0,465.0,75857.0,2017-10-10,1845,西南,1室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000184923.html,中远两湾城 3室2厅 141.96平米,141.96,980.0,960.0,67625.0,2017-09-30,2093,南,3室2厅,低楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002074391.html,中远两湾城 3室2厅 118.36平米,118.36,830.0,830.0,70126.0,2017-09-21,2084,暂无数据,3室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001436945.html,中远两湾城 3室2厅 126.14平米,126.14,870.0,855.0,67782.0,2017-09-09,1816,南,3室2厅,中楼层(共34层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107002149473.html,中远两湾城 1室2厅 71.7平米,71.7,558.0,545.0,76012.0,2017-09-05,2068,暂无数据,1室2厅,中楼层(共33层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002151139.html,中远两湾城 车位,-1.0,59.5,59.5,19834.0,2017-09-05,6,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107001999055.html,中远两湾城 1室2厅 89.82平米,89.82,685.0,650.0,72367.0,2017-09-02,2065,南,1室2厅,高楼层(共33层),其他,有电梯,2004
sh,https://sh.lianjia.com/chengjiao/107000361963.html,中远两湾城 3室2厅 150.82平米,150.82,960.0,950.0,62989.0,2017-08-28,137,南,3室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002134389.html,中远两湾城 车位,-1.0,60.0,60.0,20000.0,2017-08-28,274,暂无数据,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107002006551.html,中远两湾城 2室2厅 105.67平米,105.67,670.0,660.0,62459.0,2017-08-22,2054,暂无数据,2室2厅,中楼层(共34层),其他,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107000169039.html,中远两湾城 1室2厅 59.65平米,59.65,465.0,456.0,76446.0,2017-08-08,2040,西北,1室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001998265.html,中远两湾城 3室2厅 124.49平米,124.49,880.0,880.0,70689.0,2017-08-05,168,南,3室2厅,中楼层(共35层),简装,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000188475.html,中远两湾城 3室2厅 150.98平米,150.98,1100.0,1000.0,66234.0,2017-08-02,2034,南,3室2厅,高楼层(共33层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000677473.html,中远两湾城 车位,-1.0,55.0,53.8,17934.0,2017-07-09,748,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107002003023.html,中远两湾城 2室2厅 100.72平米,100.72,750.0,700.0,69500.0,2017-06-24,1733,西南,2室2厅,中楼层(共33层),其他,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107001998301.html,中远两湾城 2室2厅 110.95平米,110.95,750.0,700.0,63092.0,2017-06-17,1988,南,2室2厅,高楼层(共34层),其他,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107002001333.html,中远两湾城 1室2厅 69.17平米,69.17,600.0,560.0,80960.0,2017-06-11,1982,西南,1室2厅,中楼层(共34层),其他,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107002042307.html,中远两湾城 2室2厅 101.99平米,101.99,720.0,705.0,69125.0,2017-06-10,1720,南,2室2厅,中楼层(共33层),其他,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107002023701.html,中远两湾城 车位,-1.0,60.0,55.0,17060.0,2017-06-10,53,暂无数据,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107001998119.html,中远两湾城 3室2厅 111.5平米,111.5,820.0,820.0,73543.0,2017-06-04,1719,南,3室2厅,高楼层(共30层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001999859.html,中远两湾城 1室2厅 59.65平米,59.65,475.0,475.0,79632.0,2017-06-02,1973,西南,1室2厅,高楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001999611.html,中远两湾城 2室2厅 113.57平米,113.57,835.0,823.0,72467.0,2017-06-01,1972,南,2室2厅,低楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107001998903.html,中远两湾城 3室2厅 141.96平米,141.96,1160.0,1100.0,77487.0,2017-06-01,1715,南,3室2厅,中楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107001259827.html,中远两湾城 3室2厅 135.18平米,135.18,820.0,810.0,59921.0,2017-05-31,1714,南,3室2厅,低楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000571093.html,中远两湾城 车位,-1.0,55.0,51.0,14572.0,2017-05-28,1155,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000125079.html,中远两湾城 3室2厅 131.57平米,131.57,910.0,850.0,64605.0,2017-05-19,1959,东,3室2厅,高楼层(共34层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107001046717.html,中远两湾城 车位,-1.0,55.0,53.0,16563.0,2017-05-16,2,暂无数据,车位,中楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000155365.html,中远两湾城 1室2厅 69.56平米,69.56,555.0,575.0,82663.0,2017-05-13,1953,南,1室2厅,高楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000176939.html,中远两湾城 4室2厅 159.96平米,159.96,1250.0,1233.0,77082.0,2017-05-09,1949,南,4室2厅,中楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000183725.html,中远两湾城 2室2厅 105.35平米,105.35,760.0,725.0,68819.0,2017-05-07,1947,南,2室2厅,中楼层(共30层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000637789.html,中远两湾城 车位,-1.0,52.0,52.0,14858.0,2017-05-06,789,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000164921.html,中远两湾城 1室2厅 69.56平米,69.56,580.0,540.0,77631.0,2017-05-05,1945,东南,1室2厅,中楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107001621851.html,中远两湾城 3室2厅 153.49平米,153.49,980.0,960.0,62545.0,2017-05-04,1684,暂无数据,3室2厅,高楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000206475.html,中远两湾城 1室2厅 61.51平米,61.51,528.0,513.0,83402.0,2017-05-02,1942,南,1室2厅,高楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000151639.html,中远两湾城 2室2厅 106.03平米,106.03,750.0,700.0,66020.0,2017-04-27,1937,西南,2室2厅,高楼层(共33层),其他,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107000190267.html,中远两湾城 2室2厅 110.01平米,110.01,730.0,690.0,62722.0,2017-04-26,1936,西南,2室2厅,高楼层(共34层),其他,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107000288209.html,中远两湾城 1室2厅 59.44平米,59.44,490.0,483.0,81259.0,2017-04-25,1935,南,1室2厅,低楼层(共30层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000171813.html,中远两湾城 2室2厅 104.04平米,104.04,750.0,780.0,74972.0,2017-04-22,1932,南,2室2厅,中楼层(共25层),其他,有电梯,2002
sh,https://sh.lianjia.com/chengjiao/107000031477.html,中远两湾城 1室2厅 62.36平米,62.36,520.0,511.0,81944.0,2017-04-15,1925,南,1室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001086535.html,中远两湾城 2室2厅 102.38平米,102.38,740.0,720.0,70327.0,2017-04-09,1659,南,2室2厅,低楼层(共34层),其他,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000155115.html,中远两湾城 1室2厅 72.64平米,72.64,585.0,578.0,79571.0,2017-04-08,1918,南,1室2厅,高楼层(共34层),其他,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107000150157.html,中远两湾城 2室2厅 124.15平米,124.15,780.0,780.0,62828.0,2017-04-07,1917,南,2室2厅,高楼层(共34层),其他,有电梯,2003
