brand_name,food_category,total_stores,attendance_fee,corp_name,corp_address,corp_type,corp_capital,corp_reg_date,corp_location
卡朋西餐厅,卡朋西餐厅,60,20~50万,广州市卡朋餐饮管理有限公司,广东省广州,股份有限公司,500,2009-11-01,广东省广州市
麦肯基,西式快餐,300,100~200万,广州麦肯基饮食管理有限公司,广东省广州,股份有限公司,150,1999-04-23,广东省广州市越秀区广
东方豪客西餐厅,西餐 牛排 披萨,24,10~20万,东方豪客牛排西餐有限公司,山东省济南,国有企业,800,2009-10-01,山东省济南市
芝根芝底比萨,现烤披萨、意面、,300,10~20万,福州香达克餐饮管理机构,福建省,有限责任公司,100,2005-01-01,福建省泉州市
猫头鹰餐厅,餐饮,28,1~5万,美国猫头鹰餐厅,北京市,有限责任公司,500,2004-02-02,北京市
金汉斯,西餐,80,20~50万,北京市金汉斯餐饮连锁管理有限责,北京市,国有企业,1300,2001-01-01,北京市朝阳区北苑路红
美豪来牛排,西餐,35,20~50万,美豪来西餐管理有限公司,广东省,有限责任公司,100,1998-09-05,广东省深圳市宝安区
胜豪客牛排,牛排，批萨，咖,58,20~50万,胜豪客餐饮管理有限公司,,,,,
庞客音乐餐吧,庞客音乐餐吧,100,1万以下,广州韩舍餐椅管理有限公司,广东省,有限责任公司,100,2010-05-26,广东省广州市海珠区保
迈德思客,汉堡，炸鸡等西式,400,50~100万,N/A,陕西省,私营企业,444,2007-05-23,陕西省西安市雁塔区长
麦乐餐饮,冰淇淋机 炒奶果,2,1万以下,长安区玲娣餐饮设备经销中心,河北省,私营企业,50,2015-04-23,河北省石庄市长安区
千尊比萨,比萨,100,10~20万,杭州千尊比萨连锁有限公司,浙江省杭州,股份有限公司,800,,杭州市艮山东路建华工
阳光比萨,,7,1~5万,阳光比萨,山东省青岛,股份有限公司,30,,青岛经济技术开发区长
欧彩铁板烧,,20,1~5万,武汉欧彩餐车设备有限公司,湖北省武汉,其它,100,2008-10-15,武汉市桥口区古田一路
香港花枝餐饮,西式简餐、港式甜,100,20~50万,广州市启典餐饮管理有限公司,广东省广州,有限责任公司,500,2013-01-01,广东省广州市
有意思,快餐,400,20~50万,上海优易思食品经营管理有限公司,上海市,股份有限公司,210,1999-01-01,上海市静安区江宁路4
安琪西饼饼屋,西饼 西点,55,1万以下,深圳安琪连锁饼屋有限公司,甘肃省,其它,100,1994-01-01,甘肃省
乐而美汉堡,餐饮,2900,5~10万,上海速洁餐饮管理有限公司,上海市,有限责任公司,1000,2000-01-01,上海市普陀区真南路1
街角士,汉堡、炸鸡、鸡肉,35,5~10万,上海壹佳餐饮管理有限公司,上海市上海,股份有限公司,202,2007-07-07,上海奉贤区奉城镇城大
谁的咖啡,咖啡西餐,500,50~100万,北京荣华嘉悦国际餐饮管理有限公,北京市,有限责任公司,1000,2008-06-01,北京亦庄经济开发区荣
蓝湾咖啡西餐厅,咖啡,30,20~50万,南京蓝湾咖啡连锁管理有限公司,江苏省南京,国有企业,950,2000-01-01,江苏省南京市
源动力餐饮,餐饮,10000,5~10万,济南源动力餐饮,山东省济南,股份有限公司,5000,,山东省济南市市中区济
奥尔堡,欧式手工比萨、饮,100,1~5万,上海世昌餐饮管理有限公司,上海市上海,股份有限公司,300,,上海市闵行区沪松公路
太阳星汉堡,汉堡、炸鸡、鸡肉,800,5~10万,百声（上海）餐饮有限公司,上海市,国有企业,100,2002-09-28,上海市嘉定区
Coolava Islands酷浪咖啡,商务咖啡品牌连锁,180,20~50万,北京时新餐饮有限公司,北京市,外商投资企业,100,2002-01-25,北京市朝阳区东三环北
杰克薯仔,杰克薯仔,162,1~5万,广州星佰特餐饮管理有限公司,广东省广州,股份有限公司,50,2008-01-01,广州越秀区东风东路7
比比客橄榄油休闲餐厅,,7500,100~200万,上海比比客餐饮管理有限公司,,,,,
开心汤姆,披萨汉堡,200,50~100万,珠海市开心汤姆餐饮连锁有限公司,,,,,
格香客,汉堡，奶茶，炸鸡,50,5~10万,上海红贵餐饮管理有限责任公司,上海市,私营企业,100,2008-06-01,上海市
巴贝拉,意式料理,150,20~50万,上海意欣餐饮管理有限公司,上海市,股份有限公司,800,2005-07-07,上海市闵行区合川路2
爱拉屋,糕点,600,10~20万,爱拉屋食品有限公司,北京市,股份有限公司,200,,中国-北京市大兴区兴
凡仔汉堡,汉堡 炸鸡 薯条,4000,1~5万,上海凡仔餐饮管理有限公司,上海市,私营企业,1800,2000-04-02,上海市杨浦区本溪路1
左邻优社西餐厅,餐饮,50,20~50万,安徽风清扬品牌管理股份有限公司,安徽省合肥,股份有限公司,500,2014-01-01,安徽省合肥市
小派鸡排,小吃,100,1~5万,武汉派乐餐饮管理有限公司,湖北省武汉,有限责任公司,100,2011-10-01,湖北省武汉市
达美乐西餐,西餐,50,20~50万,北京达美乐比萨饼有限公司,,,,,
棒约翰,披萨,100,50~100万,北京棒约翰餐饮发展有限公司,北京市,有限责任公司,7614,2004-10-18,北京市丰台区丰台北路
塞维雅咖啡,咖啡 西餐 中餐,80,10~20万,塞维雅国际餐饮（香港）企业管理,上海市,有限责任公司,100,2014-01-01,上海市闵行区莘庄友情
牛爱客,中、西餐,80,10~20万,牛爱客餐饮管理公司,浙江省台州,股份有限公司,100,2003-12-22,浙江省台州市路桥区银
牛派客西餐牛排连锁,牛排、西点、沙拉,100,10~20万,牛派客牛排全国连锁企业,浙江省湖州,中外合资企业,100,2009-10-01,浙江省湖州市新天地商
百富烤霸,西餐,35,10~20万,百富餐饮管理有限公司,,,,,
美肯基,汉堡、炸鸡、奶茶,38,20~50万,中国美肯基餐饮管理有限公司,安徽省安庆,股份有限公司,50,2004-06-01,安徽省安庆市东方虹城
卡萨马可意大利西餐厅,意大利经典美食,2,100~200万,成都卡萨马可意大利西餐厅,,,,,
聖馬丁巴西烤肉,巴西烤肉,100,50~100万,武汉百盛汉斯餐饮管理有限公司,湖北省武汉,股份有限公司,800,,中国.武汉市江岸区香
阿尔卑斯披萨自助,西餐,156,10~20万,黑龙江省哈尔滨市国际会展中心,黑龙江省哈尔滨,股份有限公司,1563,2006-12-22,黑龙江省哈尔滨市太平
时光佐味儿童主题餐厅,儿童主题餐厅,35,20~50万,时光佐味中国区域品牌运营中心,广东省深圳,私营企业,500,1990-01-06,广东省深圳市
清水海日式料理,日式料理,300,20~50万,清水海餐饮集团,山东省济南,股份有限公司,800,,济南市市中区济微路3
嘉乐汉堡,汉堡,50,1~5万,嘉乐时代餐饮文化管理有限公司,江西省南昌,股份有限公司,500,,南昌经济技术开发区2
士百士汉堡,士百士汉堡,500,10~20万,上海士百士汉堡连锁,上海市,私营企业,200,2011-07-06,上海市
骑士牛排,骑士牛排,10,20~50万,泉州闪电骑士餐饮管理责任有限公,福建省泉州,股份有限公司,301,2010-10-29,福建省泉州市
唯客多,快餐,88,10~20万,唯客多西式休闲快餐(中国)总部,湖北省武汉,股份有限公司,500,,湖北省武汉市亚贸广场
亚马逊烤肉,自助餐,165,100~200万,江西亚马逊餐饮管理有限公司,江西省南昌,股份有限公司,200,2006-08-21,江西省南昌市红谷滩新
蕉叶,泰国特色菜系,200,50~100万,亚洲蕉叶饮食集团有限公司,北京市,股份有限公司,800,,北京市朝阳区工体北路
汉密哈顿,蛋糕 面包,200,10~20万,广州华琳食品有限公司汉密哈顿烘,广东省广州,股份有限公司,600,,广州市天河北路233
好伦哥自助餐,西餐,300,100~200万,好伦哥餐饮有限公司,北京市,外商投资企业,4300,1998-11-09,北京市海淀区魏公村5
TASTY西堤牛排,西餐,100,10~20万,TASTY西堤牛排公司,广东省深圳,私营企业,1000,2006-07-30,深圳深南东路4003
皇大厨料理,火锅,200,20~50万,皇大厨水晶料理公司,北京市,股份有限公司,800,,北京市
卷来卷去韩国料理,快餐小吃,100,1万以下,秦皇岛天粮餐饮管理有限公司,河北省石庄,股份有限公司,200,,中国 河北省秦皇岛市
伯顿西餐厅,西餐,35,20~50万,东莞市伯顿饮食服务有限公司,,,,,
绿茵阁西餐厅,西餐,200,20~50万,海南绿茵阁有限公司,海南省海口,股份有限公司,600,,海口市玉沙路5号国贸
来必堡,中餐,100,20~50万,来必堡餐饮有限公司,浙江省宁波,股份有限公司,500,,浙江宁波市中山西路8
爵士牛排,牛排,312,20~50万,青岛爵士牛排餐饮有限公司,山东省,股份有限公司,200,1993-04-20,山东省青岛市市北区上
韩式石头烤鱿鱼,韩式石头烤鱼,80,1万以下,高丽王朝餐饮集团,吉林省长春,股份有限公司,100,,吉林省长春市安达街1
澳门567牛排,,18,1~5万,上海传鼎餐饮管理有限公司,上海市上海,股份有限公司,50,2007-01-08,上海市浦东大道108
白兔糖咖啡,白兔糖咖啡,36,50~100万,北京白兔糖餐饮管理有限公司,北京市,有限责任公司,50,2014-11-02,北京市朝阳区观湖国际
比萨客披萨,披萨,100,5~10万,比萨客披萨,广东省,有限责任公司,10,2008-03-03,广东省
牛男手造披萨,西餐,100,10~20万,牛男手造披萨,江西省,有限责任公司,100,2010-12-28,江西省南昌市
豪尚豪牛排,牛排,150,20~50万,豪尚豪餐饮连锁有限公司,浙江省杭州,股份有限公司,600,,杭州新华路44号
STORY（思特瑞）,美式热狗,60,1~5万,郑州市新工坊餐饮管理有限公司,河南省郑州,有限责任公司,100,2010-01-01,河南省郑州市金水区
喜梦客,复合式餐饮,40,10~20万,上海市喜梦客餐饮管理有限公司,上海市,股份有限公司,200,2006-01-01,上海市闸北区
得肯中西复合式餐厅,中西餐,20,20~50万,南京得肯餐饮连锁有限公司,江苏省南京,私营企业,50,,江苏省南京市白下区苜
美食客,西餐 快餐,36,1~5万,美食客企业管理有限公司,上海市,股份有限公司,100,2000-08-01,上海市
五福西点,五福西点,120,10~20万,天津市五福西点食品公司,天津市,合资经营企业(港、澳、台资),300,2006-04-08,天津市
初客牛排,餐饮,2500,1~5万,济南满尖香餐饮技术研发有限公司,山东省,有限责任公司,5000,2000-05-09,山东省济南市
品之易智能茶艺机电加盟,智能茶艺机,30,5~10万,中外合资聚茗客茶业有限公司,,,,,
纳奇,,50,1~5万,意大利纳奇(北京)餐饮管理有限,北京市北京,股份有限公司,100,2005-09-12,北京市西三环丰北路鼎
番茄主义,咖啡,12,20~50万,上海艾奇杰餐饮管理有限公司,上海市,股份有限公司,500,2000-10-01,上海市
小不凡,西式快餐,13,1~5万,安庆小不凡餐饮管理有限公司,安徽省安庆,股份有限公司,50,2008-12-12,安徽省安庆市戏校南路
塔可钟,餐饮,77,50~100万,百胜全球餐饮集团,上海市,有限责任公司,1000,1962-03-02,上海市
欧罗巴西餐厅,西餐,30,10~20万,辽宁欧罗巴食品有限公司,,,,,
甲米府,泰国菜,54,100~200万,海盐甲米府餐饮管理有限公司,浙江省,私营企业,50,2010-02-01,浙江省嘉兴市南湖区现
惟客特迷你披萨,迷你披萨，手抓饼,150,10~20万,上海粮全其美食品有限公司,上海市,有限责任公司,500,2012-08-09,上海市长宁区天山路1
萌享轻食餐厅,萌享轻食餐厅,50,10~20万,陕西好百特餐饮管理有限公司,陕西省西安,有限责任公司,300,2013-05-08,陕西省西安市临潼区
可美乐奶茶,西餐,300,1万以下,威隆（上海）投资有限公司,上海市,国有企业,100,,上海市曹安路1718
盛世经典牛排,自助西餐厅,75,100~200万,福建盛世经典餐饮管理有限公司,福建省,私营企业,4188,2004-04-01,福建省福州市台江区群
乔奥斯牛排,速冻肉制品、调味,10,10~20万,青岛爵士牛排餐饮有限公司,山东省青岛,私营企业,1000,2015-08-18,山东省青岛市李沧区
老马哥火锅鸡,,40,5~10万,河北老马哥火锅鸡餐饮连锁有限公,河北省唐山,其它,100,,河北省唐山市唐海商业
西多里比萨,比萨、焗饭、意粉,46,10~20万,广州光加热餐饮管理有限公司,广东省广州,私营企业,100,2015-03-01,广东省广州市番禺区
奶酪时光,西餐,50,50~100万,南京市百酪汇食品有限责任公司,江苏省南京,私营企业,500,2004-12-27,江苏省南京市玄武区孝
贝客汉堡,西餐,50,1~5万,本色餐饮连锁有限公司,福建省福州,股份有限公司,300,2004-01-01,福建省
餐饮,餐饮,30,5~10万,餐饮有限公司,湖北省,有限责任公司,200,2014-01-06,湖北省
佳康,"农业,肉制品,饮",43,5~10万,佳康,江苏省,有限责任公司,100,2010-04-15,江苏省
汉堡大师,汉堡，奶茶，咖啡,80,10~20万,昆山趣自由餐饮管理有限公司,台湾省,股份有限公司,800,2012-01-01,台湾省
思乡客庭牛排,牛排,20,10~20万,无锡市思乡客食品有限公司,江苏省无锡,股份有限公司,100,2005-01-01,江苏无锡市南长区永丰
佳客来西餐,西餐,35,10~20万,佳客来餐饮连锁有限公司,,,,,
韩国长腿欧巴炸鸡,韩国炸鸡及韩国小,336,1~5万,韩国长腿欧巴鸡腿,上海市,有限责任公司,360,2003-06-06,上海市
今典故事西餐厅,,50,10~20万,今典故事餐饮品牌连锁,广东省东莞,股份有限公司,500,2009-01-01,广东省东莞市厚街镇风
艾可奇汉堡,艾可奇汉堡,300,10~20万,兰齐餐饮管理有限公司,黑龙江省哈尔滨,有限责任公司,300,2003-02-01,黑龙江省哈尔滨市
犇腾牛排,西餐,60,50~100万,嘉兴市犇腾餐饮管理有限公司,浙江省嘉兴,私营企业,500,2008-01-01,浙江省嘉兴市秀洲区昌
第三方咖啡西餐策划,第三方咖啡西餐策,190,1~5万,第三方咖啡西餐策划,江苏省,有限责任公司,500,2002-10-23,江苏省南京市白下区
西焗士西餐,西餐,300,10~20万,天粮集团,河北省秦皇岛,国有企业,900,,中国秦皇岛海港区金原
大食代,特色菜式,50,100~200万,北京大食代餐饮有限公司,北京市,有限责任公司,1000,1997-11-01,北京市
英伦时光面包店,西餐,25,10~20万,完美典范品牌管理（北京）有限公,,,,,
良木缘西餐厅,西餐,35,10~20万,良木缘咖啡文化传播有限公司,四川省成都,国有企业,900,1998-01-01,成都市科华北路12号
辛格小镇咖啡,咖啡 设备,27,10~20万,"辛格小镇咖啡加盟,咖啡馆加盟",上海市,其它,50,2005-08-08,上海市徐汇区漕宝路8
百济韩国炭火烤肉,韩国烧烤,50,1~5万,百济韩国炭火烤肉餐饮有限公司,上海市,股份有限公司,100,,上海市长寿路1118
手握比萨,手握比萨小吃,10,1~5万,手握比萨小吃,台湾省,有限责任公司,100,2000-01-01,台湾省
