city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
sh,闸北,大宁, 210 ,http://sh.lianjia.com/xiaoqu/daning/
sh,闸北,彭浦, 293 ,http://sh.lianjia.com/xiaoqu/pengpu/
sh,闸北,西藏北路, 1557 ,http://sh.lianjia.com/xiaoqu/zhabei/
sh,闸北,永和, 80 ,http://sh.lianjia.com/xiaoqu/yonghe/
sh,闸北,阳城, 66 ,http://sh.lianjia.com/xiaoqu/yangcheng/
sh,闸北,闸北公园, 211 ,http://sh.lianjia.com/xiaoqu/zhabeigongyuan/
sh,虹口,北外滩, 272 ,http://sh.lianjia.com/xiaoqu/beiwaitan/
sh,虹口,江湾镇, 259 ,http://sh.lianjia.com/xiaoqu/jiangwanzhen/
sh,虹口,鲁迅公园, 321 ,http://sh.lianjia.com/xiaoqu/luxungongyuan/
sh,虹口,凉城, 318 ,http://sh.lianjia.com/xiaoqu/liangcheng/
sh,虹口,临平路, 212 ,http://sh.lianjia.com/xiaoqu/linpinglu/
sh,虹口,曲阳, 235 ,http://sh.lianjia.com/xiaoqu/quyang/
sh,虹口,四川北路, 283 ,http://sh.lianjia.com/xiaoqu/sichuanbeilu/
sh,青浦,白鹤, 49 ,http://sh.lianjia.com/xiaoqu/baihe/
sh,青浦,重固, 36 ,http://sh.lianjia.com/xiaoqu/chonggu/
sh,青浦,华新, 70 ,http://sh.lianjia.com/xiaoqu/huaxin/
sh,青浦,金泽, 27 ,http://sh.lianjia.com/xiaoqu/jinze/
sh,青浦,练塘, 12 ,http://sh.lianjia.com/xiaoqu/liantang1/
sh,青浦,夏阳, 135 ,http://sh.lianjia.com/xiaoqu/xiayang/
sh,青浦,徐泾, 143 ,http://sh.lianjia.com/xiaoqu/xujing/
sh,青浦,香花桥, 52 ,http://sh.lianjia.com/xiaoqu/xianghuaqiao/
sh,青浦,盈浦, 126 ,http://sh.lianjia.com/xiaoqu/yingpu/
sh,青浦,赵巷, 101 ,http://sh.lianjia.com/xiaoqu/zhaoxiang/
sh,青浦,朱家角, 90 ,http://sh.lianjia.com/xiaoqu/zhujiajiao/
sh,奉贤,奉贤金汇, 53 ,http://sh.lianjia.com/xiaoqu/fengxianjinhui/
sh,奉贤,奉城, 101 ,http://sh.lianjia.com/xiaoqu/fengcheng/
sh,奉贤,海湾, 89 ,http://sh.lianjia.com/xiaoqu/haiwan/
sh,奉贤,南桥, 458 ,http://sh.lianjia.com/xiaoqu/nanqiao/
sh,奉贤,青村, 41 ,http://sh.lianjia.com/xiaoqu/qingcun/
sh,奉贤,四团, 34 ,http://sh.lianjia.com/xiaoqu/situan/
sh,奉贤,西渡, 93 ,http://sh.lianjia.com/xiaoqu/xidu/
sh,奉贤,柘林, 33 ,http://sh.lianjia.com/xiaoqu/zhelin/
sh,奉贤,庄行, 30 ,http://sh.lianjia.com/xiaoqu/zhuanghang/
sh,金山,漕泾, 38 ,http://sh.lianjia.com/xiaoqu/caojing/
sh,金山,枫泾, 63 ,http://sh.lianjia.com/xiaoqu/fengjing/
sh,金山,金山, 53 ,http://sh.lianjia.com/xiaoqu/jinshan1/
sh,金山,吕巷, 44 ,http://sh.lianjia.com/xiaoqu/luxiang/
sh,金山,廊下, 21 ,http://sh.lianjia.com/xiaoqu/langxia/
sh,金山,石化, 85 ,http://sh.lianjia.com/xiaoqu/shihua/
sh,金山,山阳, 83 ,http://sh.lianjia.com/xiaoqu/shanyang/
sh,金山,亭林, 62 ,http://sh.lianjia.com/xiaoqu/tinglin/
sh,金山,张堰, 35 ,http://sh.lianjia.com/xiaoqu/zhangyan/
sh,金山,朱泾, 131 ,http://sh.lianjia.com/xiaoqu/zhujing/
sh,崇明,堡镇, 39 ,http://sh.lianjia.com/xiaoqu/baozhen/
sh,崇明,长兴岛, 18 ,http://sh.lianjia.com/xiaoqu/changxingdao21211/
sh,崇明,陈家镇, 31 ,http://sh.lianjia.com/xiaoqu/chenjiazhen/
sh,崇明,崇明新城, 128 ,http://sh.lianjia.com/xiaoqu/chongmingxincheng/
sh,崇明,崇明其它, 86 ,http://sh.lianjia.com/xiaoqu/chongmingqita/
sh,崇明,横沙岛, 3 ,http://sh.lianjia.com/xiaoqu/hengshadao/
sh,上海周边,常熟市, 3 ,http://sh.lianjia.com/xiaoqu/changshushi/
sh,上海周边,海门, 3 ,http://sh.lianjia.com/xiaoqu/haimen/
sh,上海周边,嘉兴, 87 ,http://sh.lianjia.com/xiaoqu/jiaxing/
sh,上海周边,昆山, 173 ,http://sh.lianjia.com/xiaoqu/kunshan1/
sh,上海周边,南通, 15 ,http://sh.lianjia.com/xiaoqu/nantong/
sh,上海周边,启东, 12 ,http://sh.lianjia.com/xiaoqu/qidong1/
sh,上海周边,上海周边, 16 ,http://sh.lianjia.com/xiaoqu/shanghaizhoubian2/
sh,上海周边,苏州, 36 ,http://sh.lianjia.com/xiaoqu/suzhou/
sh,上海周边,太仓, 36 ,http://sh.lianjia.com/xiaoqu/taicang212/
sh,上海周边,无锡市, 1 ,http://sh.lianjia.com/xiaoqu/wuxishi/
